RK,NAME,TEAM,SALARY
218,"Nickeil Alexander-Walker, SG",Minnesota Timberwolves,"$5,009,633"
219,"Furkan Korkmaz, SG",Philadelphia 76ers,"$5,000,000"
220,"Dante Exum, PG",Houston Rockets,"$5,000,000"
221,"Lou Williams, SG",Atlanta Hawks,"$5,000,000"
222,"Deni Avdija, SF",Washington Wizards,"$4,916,160"
223,"Garrett Temple, SF",New Orleans Pelicans,"$4,910,000"
224,"Davion Mitchell, PG",Sacramento Kings,"$4,833,600"
225,"Johnny Davis, G",Washington Wizards,"$4,810,320"
226,"Ish Smith, PG",Denver Nuggets,"$4,750,000"
227,"Jalen Smith, PF",Indiana Pacers,"$4,670,160"
228,"Ziaire Williams, F",Memphis Grizzlies,"$4,591,680"
229,"Ousmane Dieng, F",Oklahoma City Thunder,"$4,569,840"
230,"Maurice Harkless, SF",Houston Rockets,"$4,564,980"
231,"Donte DiVincenzo, SG",Golden State Warriors,"$4,500,000"
232,"Jeff Green, PF",Denver Nuggets,"$4,500,000"
233,"Devin Vassell, SG",San Antonio Spurs,"$4,437,000"
234,"Matisse Thybulle, SG",Portland Trail Blazers,"$4,379,527"
235,"Jarred Vanderbilt, PF",Los Angeles Lakers,"$4,374,000"
236,"James Bouknight, SG",Charlotte Hornets,"$4,362,240"
237,"Brandon Clarke, PF",Memphis Grizzlies,"$4,343,920"
238,"Jalen Williams, F",Oklahoma City Thunder,"$4,341,480"
239,"Grant Williams, PF",Boston Celtics,"$4,306,281"
240,"Darius Bazley, PF",Phoenix Suns,"$4,264,629"
241,"Ty Jerome, SG",Golden State Warriors,"$4,220,057"
242,"Tyrese Haliburton, PG",Indiana Pacers,"$4,215,120"
243,"Nassir Little, SF",Portland Trail Blazers,"$4,171,548"
244,"Joshua Primo, SG",San Antonio Spurs,"$4,144,320"
245,"Jalen Duren, C",Detroit Pistons,"$4,124,280"
246,"Danuel House Jr., SF",Philadelphia 76ers,"$4,105,000"
247,"Justise Winslow, PF",Portland Trail Blazers,"$4,097,561"
248,"Dylan Windler, SG",Cleveland Cavaliers,"$4,037,278"
249,"Chandler Hutchison, SF",Phoenix Suns,"$4,019,459"
250,"Kira Lewis Jr., PG",New Orleans Pelicans,"$4,004,280"
251,"Terence Davis, SG",Sacramento Kings,"$4,000,000"
252,"George Hill, PG",Indiana Pacers,"$4,000,000"
253,"Chris Duarte, SG",Indiana Pacers,"$3,936,960"
254,"Ochai Agbaji, G",Utah Jazz,"$3,918,360"
255,"Alex Len, C",Sacramento Kings,"$3,918,000"
256,"Jordan Poole, SG",Golden State Warriors,"$3,901,399"
257,"Keldon Johnson, SF",San Antonio Spurs,"$3,873,025"
258,"Aaron Nesmith, SF",Indiana Pacers,"$3,804,360"
259,"Mark Williams, C",Charlotte Hornets,"$3,722,040"
260,"Gabriel Deck, SF",Oklahoma City Thunder,"$3,676,852"
261,"Cole Anthony, PG",Orlando Magic,"$3,613,680"
262,"Sekou Doumbouya, SF",Los Angeles Lakers,"$3,613,680"
263,"Moses Moody, SG",Golden State Warriors,"$3,562,200"
264,"Corey Kispert, SF",Washington Wizards,"$3,552,960"
265,"AJ Griffin, F",Atlanta Hawks,"$3,536,160"
266,"Mike Muscala, C",Boston Celtics,"$3,500,000"
267,"Georges Niang, SF",Philadelphia 76ers,"$3,465,000"
268,"Chuma Okeke, PF",Orlando Magic,"$3,433,320"
269,"Isaiah Stewart, C",Detroit Pistons,"$3,433,320"
270,"Amir Coffey, SG",LA Clippers,"$3,395,062"
271,"Alperen Sengun, C",Houston Rockets,"$3,375,480"
272,"Tari Eason, F",Houston Rockets,"$3,309,160"
273,"Aleksej Pokusevski, F",Oklahoma City Thunder,"$3,261,480"
274,"Trey Burke, PG",Oklahoma City Thunder,"$3,243,750"
275,"Kevin Porter Jr., SG",Houston Rockets,"$3,217,631"
276,"Trey Murphy III, SG",New Orleans Pelicans,"$3,206,640"
277,"Simone Fontecchio, F",Utah Jazz,"$3,205,128"
278,"Derrick Jones Jr., SF",Chicago Bulls,"$3,200,000"
279,"Andre Drummond, C",Chicago Bulls,"$3,200,000"
280,"Dalen Terry, F",Chicago Bulls,"$3,191,400"
281,"Kevin Love, PF",Miami Heat,"$3,114,138"
282,"Josh Green, SG",Dallas Mavericks,"$3,098,400"
283,"Jake LaRavia, F",Memphis Grizzlies,"$3,047,640"
284,"Tre Mann, PG",Oklahoma City Thunder,"$3,046,200"
285,"Sterling Brown, SF",Los Angeles Lakers,"$3,000,000"
286,"Jordan Nwora, SF",Indiana Pacers,"$3,000,000"
287,"Luka Samanic, F",Utah Jazz,"$2,959,080"
288,"Saddiq Bey, SF",Atlanta Hawks,"$2,959,080"
289,"Malaki Branham, G",San Antonio Spurs,"$2,925,600"
290,"Kai Jones, PF",Charlotte Hornets,"$2,909,040"
291,"Precious Achiuwa, PF",Toronto Raptors,"$2,840,160"
292,"Christian Braun, G",Denver Nuggets,"$2,808,600"
293,"Jalen Johnson, SF",Atlanta Hawks,"$2,792,640"
294,"Tyrese Maxey, PG",Philadelphia 76ers,"$2,726,880"
295,"Bruno Fernando, PF",Atlanta Hawks,"$2,717,391"
296,"Trey Lyles, PF",Sacramento Kings,"$2,700,000"
297,"Walker Kessler, C",Utah Jazz,"$2,696,400"
298,"Marc Gasol, C",Memphis Grizzlies,"$2,692,991"
299,"Anthony Tolliver, PF",New Orleans Pelicans,"$2,692,991"
300,"Keon Johnson, SG",Portland Trail Blazers,"$2,681,040"
301,"Charles Bassey, C",San Antonio Spurs,"$2,600,000"
302,"David Roddy, F",Memphis Grizzlies,"$2,588,640"
303,"Isaiah Jackson, SF",Indiana Pacers,"$2,573,760"
304,"Zeke Nnaji, PF",Denver Nuggets,"$2,498,760"
305,"MarJon Beauchamp, F",Milwaukee Bucks,"$2,485,200"
306,"Usman Garuba, PF",Houston Rockets,"$2,471,160"
307,"Montrezl Harrell, C",Philadelphia 76ers,"$2,463,490"
308,"Willy Hernangomez, C",New Orleans Pelicans,"$2,443,581"
309,"Blake Wesley, G",San Antonio Spurs,"$2,385,480"
310,"Josh Christopher, SG",Houston Rockets,"$2,372,160"
311,"Leandro Bolmaro, F",Utah Jazz,"$2,353,320"
312,"Immanuel Quickley, SG",New York Knicks,"$2,316,240"
313,"Wendell Moore Jr., G",Minnesota Timberwolves,"$2,306,520"
314,"John Konchar, SG",Memphis Grizzlies,"$2,300,000"
315,"Damian Jones, C",Utah Jazz,"$2,298,385"
316,"Quentin Grimes, SG",New York Knicks,"$2,277,000"
317,"Andrew Nembhard, PG",Indiana Pacers,"$2,244,111"
318,"Nikola Jovic, F",Miami Heat,"$2,239,920"
319,"Payton Pritchard, PG",Boston Celtics,"$2,239,200"
320,"Vlatko Cancar, SF",Denver Nuggets,"$2,234,359"
321,"Patrick Baldwin Jr., F",Golden State Warriors,"$2,226,000"
322,"TyTy Washington Jr., G",Houston Rockets,"$2,210,040"
323,"Bones Hyland, PG",LA Clippers,"$2,201,520"
324,"Bol Bol, C",Orlando Magic,"$2,200,000"
325,"Peyton Watson, F",Denver Nuggets,"$2,193,960"
326,"Marquese Chriss, SF",Oklahoma City Thunder,"$2,193,920"
327,"Nik Stauskas, G",Indiana Pacers,"$2,193,920"
328,"Udoka Azubuike, C",Utah Jazz,"$2,174,880"
329,"Jaden McDaniels, PF",Minnesota Timberwolves,"$2,161,440"
330,"Jordan McLaughlin, PG",Minnesota Timberwolves,"$2,160,000"
331,"Malachi Flynn, PG",Toronto Raptors,"$2,145,720"
332,"Cam Thomas, SG",Brooklyn Nets,"$2,138,160"
333,"Luke Kornet, C",Boston Celtics,"$2,133,278"
334,"Desmond Bane, SG",Memphis Grizzlies,"$2,130,240"
335,"Jahlil Okafor, C",Atlanta Hawks,"$2,130,023"
336,"Jaden Springer, G",Philadelphia 76ers,"$2,125,200"
337,"Day'Ron Sharpe, C",Brooklyn Nets,"$2,109,480"
338,"Jevon Carter, PG",Milwaukee Bucks,"$2,100,000"
339,"Santi Aldama, PF",Memphis Grizzlies,"$2,094,240"
340,"Frank Ntilikina, PG",Dallas Mavericks,"$2,036,318"
341,"Tony Bradley, C",Chicago Bulls,"$2,036,318"
342,"Jaylin Williams, F",Oklahoma City Thunder,"$2,000,000"
343,"Jeremiah Robinson-Earl, PF",Oklahoma City Thunder,"$2,000,000"
344,"Kenrich Williams, SF",Oklahoma City Thunder,"$2,000,000"
345,"Abdel Nader, SF",Phoenix Suns,"$2,000,000"
346,"Caleb Houstan, G",Orlando Magic,"$2,000,000"
347,"Danny Green, F",Cleveland Cavaliers,"$2,000,000"
348,"Garrison Mathews, SG",Atlanta Hawks,"$2,000,000"
349,"Shake Milton, SG",Philadelphia 76ers,"$1,977,718"
350,"Edmond Sumner, PG",Brooklyn Nets,"$1,968,175"
351,"Jontay Porter, PF",Memphis Grizzlies,"$1,950,000"
352,"Denzel Valentine, G",Boston Celtics,"$1,939,350"
353,"Daniel Gafford, C",Washington Wizards,"$1,930,681"
354,"Jalen McDaniels, PF",Philadelphia 76ers,"$1,930,681"
355,"Naz Reid, C",Minnesota Timberwolves,"$1,930,681"
356,"Jaylen Nowell, SG",Minnesota Timberwolves,"$1,930,681"
357,"Terance Mann, SG",LA Clippers,"$1,930,681"
358,"Dean Wade, PF",Cleveland Cavaliers,"$1,930,681"
359,"Lindy Waters III, F",Oklahoma City Thunder,"$1,927,896"
360,"Chimezie Metu, PF",Sacramento Kings,"$1,910,680"
361,"Davon Reed, SG",Los Angeles Lakers,"$1,902,133"
362,"Xavier Tillman, F",Memphis Grizzlies,"$1,901,625"
363,"Killian Tillie, SF",Memphis Grizzlies,"$1,901,625"
364,"Theo Maledon, PG",Charlotte Hornets,"$1,900,000"
365,"Keita Bates-Diop, SF",San Antonio Spurs,"$1,878,720"
366,"Moritz Wagner, C",Orlando Magic,"$1,878,720"
367,"Thanasis Antetokounmpo, SF",Milwaukee Bucks,"$1,878,720"
368,"Wenyen Gabriel, F",Los Angeles Lakers,"$1,878,720"
369,"Didi Louzada, SF",Cleveland Cavaliers,"$1,876,222"
370,"Oshae Brissett, SF",Indiana Pacers,"$1,846,738"
371,"Dennis Smith Jr., PG",Charlotte Hornets,"$1,836,090"
372,"Svi Mykhailiuk, SG",Charlotte Hornets,"$1,836,090"
373,"Juancho Hernangomez, PF",Toronto Raptors,"$1,836,090"
374,"Anthony Gill, PF",Washington Wizards,"$1,836,090"
375,"Taj Gibson, F",Washington Wizards,"$1,836,090"
376,"Juan Toscano-Anderson, SF",Utah Jazz,"$1,836,090"
377,"Isaiah Joe, SG",Oklahoma City Thunder,"$1,836,090"
378,"Justin Jackson, SF",Boston Celtics,"$1,836,090"
